Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Components,Components,Components,Components,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
User Registration,JIR-1,10048,Epic,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Highest,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 12:15,4/1/2026 12:15,4/2/2026 11:25,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@123f2df2,,,,,ghx-label-12,,To Do,,,,grey,,,,,0|i0002n:,,,JIR Sprint 1,,,,,,,,,,,,,,,To Do,4/1/2026 12:15
User Login & Authentication,JIR-2,10049,Epic,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Highest,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 12:16,4/1/2026 12:16,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5808cc29,,,,,ghx-label-6,,To Do,,,,green,,,,,0|i0002v:,,,,,,,,,,,,,,,,,,To Do,4/1/2026 12:16
Dashboard & Navigation,JIR-3,10050,Epic,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Highest,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 12:16,4/1/2026 12:16,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@687f3aa1,,,,,ghx-label-8,,To Do,,,,dark_purple,,,,,0|i00033:,,,,,,,,,,,,,,,,,,To Do,4/1/2026 12:16
Profile Management,JIR-4,10051,Epic,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Highest,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 12:16,4/1/2026 12:16,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@749523ef,,,,,ghx-label-12,,To Do,,,,grey,,,,,0|i0003b:,,,JIR Sprint 1,,,,,,,,,,,,,,,To Do,4/1/2026 12:16
Course Listing,JIR-5,10052,Epic,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,High,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 12:18,4/1/2026 12:18,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@759db3f5,,,,,ghx-label-7,,To Do,,,,purple,,,,,0|i0003j:,,,JIR Sprint 1,,,,,,,,,,,,,,,To Do,4/1/2026 12:18
Course Details,JIR-6,10053,Epic,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,High,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 12:18,4/1/2026 12:18,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@12392c71,,,,,ghx-label-1,,To Do,,,,dark_grey,,,,,0|i0003r:,,,JIR Sprint 1,,,,,,,,,,,,,,,To Do,4/1/2026 12:18
My Courses,JIR-7,10054,Epic,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,High,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 12:18,4/1/2026 12:18,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@267acb62,,,,,ghx-label-6,,To Do,,,,green,,,,,0|i0003z:,,,JIR Sprint 1,,,,,,,,,,,,,,,To Do,4/1/2026 12:18
Video Player,JIR-8,10055,Epic,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,High,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 12:19,4/1/2026 12:19,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@25e0ae3,,,,,ghx-label-4,,To Do,,,,dark_blue,,,,,0|i00047:,,,,,,,,,,,,,,,,,,To Do,4/1/2026 12:19
Reviews & Ratings,JIR-9,10056,Epic,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,High,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 12:19,4/1/2026 12:19,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7434dfaa,,,,,ghx-label-7,,To Do,,,,purple,,,,,0|i0004f:,,,JIR Sprint 1,,,,,,,,,,,,,,,To Do,4/1/2026 12:19
"As a user, I want to register using valid details so that I can create an account and access the platform.",JIR-10,10057,Story,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,High,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 12:30,4/2/2026 10:23,4/2/2026 11:11,,Authentication Service,Backend API,Database,Frontend (UI),,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@504ea3ce,,,,,,,,,,,,,,,,0|i0004n:,,,JIR Sprint 1,,,,,,,,,,,,10048,JIR-1,User Registration,To Do,4/1/2026 12:30
Design registration form UI,JIR-71,10151,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:43,4/2/2026 9:43,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2180df7e,,,,,,,,,,,,,,,,0|i000i7:,,,JIR Sprint 1,,,,,,,,,,,,10057,JIR-10,"As a user, I want to register using valid details so that I can create an account and access the platform.",To Do,4/2/2026 9:43
